dato,rente
2002-01-01,0.1150
2002-07-01,0.1100
2003-01-01,0.1000
2003-07-01,0.0920
2004-01-01,0.0920
2004-07-01,0.0920
2005-01-01,0.0920
2005-07-01,0.0920
2006-01-01,0.0940
2006-07-01,0.1000
2007-01-01,0.1100
2007-07-01,0.1125
2008-01-01,0.1125
2008-07-01,0.1135
2009-01-01,0.1075
2009-07-01,0.0855
2010-01-01,0.0820
2010-07-01,0.0805
2011-01-01,0.0830
2011-07-01,0.0830
2012-01-01,0.0770
2012-07-01,0.0745
2013-01-01,0.0720
2013-07-01,0.0820
2014-01-01,0.0820
2014-07-01,0.0820
2015-01-01,0.0820
2015-07-01,0.0805
2016-01-01,0.0805
2016-07-01,0.0805
2017-01-01,0.0805
2017-07-01,0.0805
2018-01-01,0.0805
2018-07-01,0.0805
2019-01-01,0.0805
2019-07-01,0.0805
2020-01-01,0.0805
2020-07-01,0.0805
